text,page,book
. تقويم تشخيصي 1- وقد تخلصت أوربا تدريجيا من مظاهر العصور الوسطى وحققت قدرا عاليا من التقدم جعلها تهيمن على العالم وتكتشف أسرار الكون والحياة حين أنقذت نفسها من الجهل الذي غل فكرها، وتمثلت الخطوة الأولى خلال ذلك المسار الطويل في الإصلاح الديني الذي خلص الناس من كثير من المظاهر التي كان يستعملها بعض رجال الدين وسيلة للهيمنة والتسلط .... د. عصام عبد الله 2 .... نحن نؤمن ببديهية تلك الحقائق القائلة بأن الله خلق الناس سواسية أجمعين، وأن خالقهم منحهم حقوقا معينة لا تقبل النزول عنها للغير وأن من بين هذه الحقوق، حق الحياة والحرية والسعي وراء السعادة، ولصون هذه الحقوق تقام الحكومات بين الناس مستمدة سلطاتها العادلة من قبول الرعية، وأنه عندما يصبح أي شكل للحكم هذاما لهذه الغاية فمن حق الشعب تغييره أو ا القضاء عليه لبناء حكومة جديدية ترسي قواعدها على مثل هذه المبادئ وتنظم سلطانها في شكل يبدو أقرب إلى تأمين وإسعاد الشعب، ومن هنا مضت الولايات المتحدة لتعلن أنها حرة ومستقلة ذات سيادة » من وثيقة إعلان استقلال الولايات المتحدة 3 ... إن فرنسا تتكون من ولايات وأقطار منفصلة ذات إدارات مختلطة متنوعة، لا تعرف مقاطعاتها شيئا عن بعضها بعضا وحيث لا تحمل بعض جهاتها عبئا ما ، بينما العبء كله يقع على الجهات الأخرى، وحيث أكثر الطبقات فيها ثراء يفرض عليها أخف الضرائب وحيث الامتيازات تحول دون توازن، وحيث يتعذر إقامة حكم ثابت دائم، ووجود إدارة مشتركة، فلا عجب إذا هي غصت بالعيوب وحفلت بالمساوئ ومن المتعذر في حالتها الراهنة أن تحكم حكما صالحا .... من التقرير الذي قدمه الوزير شارل الكسندر دو كالون أمام مجلس طبقتي الإكليروس والأشراف المصلحة العامة ) 4 يولد الناس ويبقون أحرارا ومتساويين في الحقوق، ولا يمكن للإمتيازات أن تبنى إلا على أساس إن الهدف من أي مؤسسة سياسية هو الحفاظ على حقوق الإنسان الطبيعية التي لا يمكن التنازل عنها وهي : الحرية وحق الملكية، ومقاومة القهر يكمن مبدأ كل سيادة أساسا في الأمة، ولا يجوز لأي مجموعة وأي شخص أن يمارس سلطة لا تستمد من الأمة ) إن القانون تعبير عن الإرادة العامة، لذا فإن من حق كل المواطنين أن يساهموا في إعداده إما بأنفسهم أو عن طريق ممثليهم. ويُطبق القانون على الجميع في حالتي الحماية والعقاب. للمواطنين الحق في أن يشغلوا كل الرتب والوظائف العمومية، كل حسب قدراته ولا فرق إلا بالفضائل والمواهب من إعلان حقوق الإنسان والمواطن للثورة الفرنسية 1789 . 8 عيون البصائر التعليمي,1,HSS2
5- إن الأمة مثل الفرد لها واجبات، فلا يمكننا أن نتخلى عن واجباتنا اتجاه شعوب عديدة وضعت تحت وصايتنا، إن بإمكان سيطرتنا وحدها أن تضمن السلم والأمن والرفاهية لأولائك التعساء الذين لم يسبق لهم أبدا أن عرفوا تلك النعم، فبأدائنا الرسالة التمدين هذه نكون قد أوفينا برسالتنا الوطنية لصالح الشعوب .... جوزيف شمبر لين وزير المستعمرات البريطاني عن كتاب كروزي / في سياسات التوسع الإمبريالي و كانت الدول الأوربية طيلة ثلاثة قرون متوالية تعتبر نفسها سعيدة عندما تعقد السلم مع داي على أمن نسبي لبحريتها وتبتلع من أجل ذلك سائر الجزائر وتحصل منه حتى بتضحيات في المال والكرامة. أوكسان برنار الإهانات .... لع عيو موف . 7- تولى رعاية مصالح فرنسا بالجزائر 60 قنصلا ونائب قنصل، وتردد عليها 96 محافظا ومبعوثا فرنسيا، كان أول القناصل الفرنسيين بارتول»، وآخرهم « دو فال»، وأول المحافظين والمبعوثين دولا فوريست مولود قاسم نايت بلقاسم / شخصية الجزائر الدولية وآخرهم دوبيري .... رفعت فرنسا شعارات إن الجزائر مساحة جغرافية شاغرة، لم يكن لها أبدا دولة، وليس فيها مجتمع. - إن سكان الجزائر عبارة عن مجموعات فسيفسائية تنتمي إلى عناصر كثيرة متباغضة ومتناحرة تلتقي في صفة واحدة هي التعصب الديني . . و .... لن ترفض أي طلب للجمهورية إذا كان لديها ما تطلبه منا، عندما يكون في متناولنا، فالمواد الغذائية والخيول الجيدة هذه هي أهم منتوجاتنا، فالصديق الحقيقي هو ذلك الذي يعلن عن نفسه عند الحاجة فهذه هي مبادؤنا، إننا على استعداد لأن نمدكم بالحبوب وبالمواد المعيشية من كل نوع، وبكلمة واحدة كل ما تطلبونه، لاننا نشعر بأنه في غمار الحرب العامة التي تواجهونها ضد مثل هذا العدد من الأمم الأوربية فإنه من المستحيل الا تواجهوا صعوبات في اقتناء ما أنتم في حاجة إليه من المواد الغذائية والسلع الضرورية الأخرى ..... من رسالة الداي ردا على رسالة الشكر التي وجهها وزير الشؤون الخارجية الفرنسية د. جمال قنان / العلاقات الفرنسية الجزائرية البصائر التعليمي .,2,HSS2
أولا : 1 - من خلال السند 1 . اشرح ما يلي : مظاهر العصور الوسطى التقدم - تكتشف أسرار الكون والحياة - الإصلاح الديني وسيلة للهيمنة والتسلط . 2 - استخرج الأفكار الأساسية من السند 2 وقارنها بممارسات الولايات المتحدة الأمريكية الحالية مبديا رأيك في نتيجة المقارنة التي تستخلصها . 3- السند 3 يصف الوضع العام الإداري والسياسي والمالي والاجتماعي لفرنسا في نهاية القرن 18 ، قارن بين ما ورد في السند ووضع الجزائر في نفس الفترة مبديا رأيك في النتيجة المتوصل إليها . 4 - إقرأ جيدا مواد السند 4 وطابقها مع السياسة الفرنسية الخارجية بعد الثورة الفرنسية، معللا نتائج المقارنة. 5- السند 5 يتضمن مبررات بريطانيا لممارستها السياسية الإستعمارية. . استخرج من السند هذه المبررات . . حدد الأساليب التي ترجمت بها بريطانيا المبررات التي وردت في السند 5 في كل من إفريقيا وآسيا. 6- السندات 9،7،6 تبرز العلاقات الجزائرية الدولية قبل الاحتلال، بينما يتضمن السند رقم 8 شعارات رفعتها فرنسا وهي تقدم على احتلال الجزائر. . قدم السندات مستخلصا مضمونها. . قارن بين السندات 6 و 7 و 8 و 9 . ه استخلص الأفكار التي يمكنك أن ترد بها على ما ورد في السند رقم 8 . . لعبت الدبلوماسية الجزائرية بين 1518 - 1830 دورا بارزا في إثراء القانون الدولي، أبرز ذلك بأمثلة . ① . موقع عيون البصائر التعليمي 10 خير الدين بربروس سیسیل رودس نابوليون بونابرت .,3,HSS2
. ثانيا : السندات (1-2) تمثل شخصيات لعبت دورا فعالا من أجل أتمها : 1 - استخلص كيف نظر الغرب إلى الشخصيتين (2) - (3) مع التحليل ؟ 2 - كيف نظر الغرب إلى الشخصية (1) - مع التعليل ؟ 3 - كيف تقيم أنت الشخصيات الثلاث مع التعليل ؟ ثالثا على خريطة العالم المرفقة : 1 - وقع خطوط الرحلات الجغرافية الاستكشافية بعد 1492. 2 - لون المناطق المكتشفة من طرف البرتغال. 3 - خرجت إسبانيا والبرتغال إلى . مسرح الحركة الاستعمارية مبكرا وشكلت امبراطوريات كبرى إلا أنها لم تحتفظ إلا بمناطق محدودة. حدد أسباب ذلك. 4 - أعلنت إسبانيا حربا على الجزائر دام الصراع فيها ثلاثة قرون . حدد أسباب هذا الصراع. أبرز آخر المعاقل الإسبانية بالجزائر، وابرز أسباب تأخر التواجد الإسباني بهذا المعقل. موقع عيون البصائر التعليمي,4,HSS2
الوحدة التعلمية الأولى الاستعمار الأوروبي في إفريقيا وآسيا ومقاومته 1815 - 1954 تعالج الوحدة من خلال : 1 - مكتسباتك القبلية المدرسية ( برنامج السنة الأولى ثانوي ، وقراءاتك الخارجية عن : مفهوم الاستعمار . ظروف ظهور الفكر الإستعماري . . أهداف الإستعمار . 2 - الحركة الاستعمارية الأوروبية في إفريقيا وآسيا ومقاومتها من خلال. ظروفها - اسبابها - أهدافها . 3 طرق و وسائل تجسيد السياسة الاستعمارية وانعكاساتها. ردود أفعال وأشكال الحركات التحررية (الظروف الأسباب، الأساليب ووسائل ) . أهداف وخصائص الحركات التحررية بعد نهاية معالجة الوحدة من خلال الاداءات والنشاطات داخل القسم - الأستاذ - جماعة القسم - التلميذ - الإنجازات الفردية والجماعية من خلال الحصص الإدماجية والتقويمية تكون قادرا على : 1 - حل الإشكاليات التي يطرحها موضوع الحركة الاستعمارية : . فهم مدى توظيف أوروبا لتفوقها الاقتصادي والعسكري لفرض الهيمنة على غيرها . إدراك أن زوال الكيانات السياسية والأنظمة والحكومات لا تعني قتل روح الصمود وإرادة المقاومة ) لدى الشعوب . ب - استعمال واستغلال واستثمار السندات التاريخية بمختلف أنواعها كمصادر للحصول على المعلومات وكد عائم وشواهد لتدعيمها، وكسندات للحصص الإدماجية والتقويمية : التحكم في المفاهيم التي تطرحها الوحدة . إنجاز المشاريع التربوية العلمية الفردية والجماعية ( بحوث - ملفات - لوحات فنية - نوادي بيئية وتاريخية). كن مقاوما للظلم، مناصرا للحق. . 12 موقع عيون البصائر التعليمي,5,HSS2
. . العلاقات الأوروبية الأوروبية وانعكاساتها الخارجية خط إتجاه الحركة الاستعمارية موا,6,HSS2
. . العلاقات الأوروبية الأوروبية وانعكاساتها الخارجية خط إتجاه الحركة الاستعمارية موا,7,HSS2
. م الإستعمار الأوروبي في إفريقيا وآسيا ومقاومته 1815 م - 1954 . .... التوسع الاستعماري، السيطرة : لماذا ؟ وكيف ؟ ، غالبا ما وضعت الأسباب الاقتصادية في المقدمة من اجل تفسير التوسع الاستعماري الذي قامت به الدول الأوروبية ، فيقال أن أوروبا كانت بحاجة إلى تأمين تزويدها بالمواد الأولية وإلى إيجاد الأسواق لمنتجاتها وحتى الرساميلها ... ولكن هل أن التوسع الإستعماري ضروري للإقتصاد الأوروبي ؟ لا شك أن عدة مواد أولية لا يمكن إيجادها إلا خارج وبعد عام 1879 م بدأ البحث القارة الأوروبية .. عن الأسواق محركا قويا ... وهل احتاجت أوروبا المستعمرات من أجل أن توظف فيها الرساميل التي جمعتها بكثافة. ومن الواضح أن الأسواق المالية الباريس ولندن وبرلين وفرانكفورت عرفت كيف تقوم في أوروبا أو في المستعمرات بعمليات مثمرة جدا ولكن الجميع استخدم السلاح المالي من أجل تحقيق الخطط الإمبريالية ..... 3 ..... إن الكشوف الجغرافية تتعامل مع جذور أو على الأقل بذور الاستعمار المعاصر مباشرة. فقد ولد الاستعمار الحديث في حجر الكشوف الجغرافية ولا نقول في رحمها. فخرجت أوروبا تضرب في المجهول، فعادت تحمل إلى العالم عالما جديدا، بل عوالم جديدة قلبت الكشوف الجغرافية استراتيجية العالم القديم من صميمها .. د. محمد العربي ولد خليفة / الثورة الجزائرية 2 شكلت الصناعة المجتمع الذي يحض على الإستعمار ويؤدي إليه كواقع وكمثال فلقد ولد الإنقلاب الصناعي في إرهاصات تغيير إجتماعي من الإقطاع إلى البورجوازية ترمز له الثورة الفرنسية، وجاء هو بعدها بعقدين يقفز بهذا التغيير أي ثورة اجتماعية سياسية، فالإنقلاب الصناعي تمخض عن الرأسمالية وشكل المجتمع . فمنذ عصر البورجوازي الرأسمالي الذي هو في صميمه مجتمع تنافسي تملكي وتوسعي . النهضة الأوروبية كان زمام المبادرة في يد العالم الغربي وكان ذلك العالم بفضل ما تيسر له من القوة المادية، يبسط نفوذه تدريجيا - وهو الأقل عددا والأفقر أرضا - على الأقاليم الواسعة الشاسعة في العالم القديم والعالم الجديد على السواء ..... جول فيري 1832 م - 1893 م سياسي فرنسي ، وطد أركان الإمبراطورية الاستعمارية الفرنسية في إفريقيا والهند الصينية 1 د. جمال حمدان استراتيجية الاستعمار والتحرر مفيد الزيدي موسوعة تاريخ أوروبا الحديث والمعاصر . . موقع عيون البصائر التعليمي,8,HSS2
. م الإستعمار الأوروبي في إفريقيا وآسيا ومقاومته 1815 م - 1954 . .... التوسع الاستعماري، السيطرة : لماذا ؟ وكيف ؟ ، غالبا ما وضعت الأسباب الاقتصادية في المقدمة من اجل تفسير التوسع الاستعماري الذي قامت به الدول الأوروبية ، فيقال أن أوروبا كانت بحاجة إلى تأمين تزويدها بالمواد الأولية وإلى إيجاد الأسواق لمنتجاتها وحتى الرساميلها ... ولكن هل أن التوسع الإستعماري ضروري للإقتصاد الأوروبي ؟ لا شك أن عدة مواد أولية لا يمكن إيجادها إلا خارج وبعد عام 1879 م بدأ البحث القارة الأوروبية .. عن الأسواق محركا قويا ... وهل احتاجت أوروبا المستعمرات من أجل أن توظف فيها الرساميل التي جمعتها بكثافة. ومن الواضح أن الأسواق المالية الباريس ولندن وبرلين وفرانكفورت عرفت كيف تقوم في أوروبا أو في المستعمرات بعمليات مثمرة جدا ولكن الجميع استخدم السلاح المالي من أجل تحقيق الخطط الإمبريالية ..... 3 ..... إن الكشوف الجغرافية تتعامل مع جذور أو على الأقل بذور الاستعمار المعاصر مباشرة. فقد ولد الاستعمار الحديث في حجر الكشوف الجغرافية ولا نقول في رحمها. فخرجت أوروبا تضرب في المجهول، فعادت تحمل إلى العالم عالما جديدا، بل عوالم جديدة قلبت الكشوف الجغرافية استراتيجية العالم القديم من صميمها .. د. محمد العربي ولد خليفة / الثورة الجزائرية 2 شكلت الصناعة المجتمع الذي يحض على الإستعمار ويؤدي إليه كواقع وكمثال فلقد ولد الإنقلاب الصناعي في إرهاصات تغيير إجتماعي من الإقطاع إلى البورجوازية ترمز له الثورة الفرنسية، وجاء هو بعدها بعقدين يقفز بهذا التغيير أي ثورة اجتماعية سياسية، فالإنقلاب الصناعي تمخض عن الرأسمالية وشكل المجتمع . فمنذ عصر البورجوازي الرأسمالي الذي هو في صميمه مجتمع تنافسي تملكي وتوسعي . النهضة الأوروبية كان زمام المبادرة في يد العالم الغربي وكان ذلك العالم بفضل ما تيسر له من القوة المادية، يبسط نفوذه تدريجيا - وهو الأقل عددا والأفقر أرضا - على الأقاليم الواسعة الشاسعة في العالم القديم والعالم الجديد على السواء ..... جول فيري 1832 م - 1893 م سياسي فرنسي ، وطد أركان الإمبراطورية الاستعمارية الفرنسية في إفريقيا والهند الصينية 1 د. جمال حمدان استراتيجية الاستعمار والتحرر مفيد الزيدي موسوعة تاريخ أوروبا الحديث والمعاصر . . موقع عيون البصائر التعليمي,9,HSS2
. 1 الإستعمار الأوروبي في إفريقيا وآسيا ومقاومته 1815 م - 1954 م طرق المواصلات البرية طرق المواصلات البحرية تقويم مرحلي : 1 - إعتمادا على السندات 1 و 2 3 حدد دور الكشوفات الجغرافية في ظهور وانتشار 6 وهكذا صار من الأربح على الإستعمار الإبقاء على الأفارقة في عقر دارهم لاستغلالهم من جديد في استهلاك منتجاته وقد اتخذ لهذه الغاية أشكالا مباشرة وغير مباشرة، فقد كبل الدول التي كانت تحت استعماره بالشركات الإحتكارية والمعاهدات الإقتصادية غير المتكافئة كما قيدها ببرامج المعونة المشروطة .... كما عمل على إنهاك إفريقيا وجعلها امتدادا اقتصاديا استغلاليا للدول الإستعمارية وربط ثرواتها بعجلة الرأسمال الغربي، لا انفصام فيه وهيا جميع الظروف التي تجعل من اقتصاديات هذه القارة اقتصاديات تابعة ومكملة الاقتصاديات الدول العربية ... وفرض على الشعوب الإفريقية التخصص في إنتاج المواد الأولية اللازمة للصناعة طرق المواصلات البرية والبحرية التي سلكها الإستعمار بالعودة إلى السند 6 بين كيف أن الإستعمار أسس النظام اقتصادي دولي على 4 الإستعمار. 2 - بين العلاقة بين الثورة الصناعية والحركة الإستعمارية . 3 - استخرج الأفكار الأساسية من السندين رقم 4 و 5 حساب شعوب المستعمرات . والثروة الأوروبية ..... د. محمد احمد مشهور / حقائق تاريخية عن العرب والإسلام في إفريقيا الشرقية . موقع عيون البصائر التعليمي,10,HSS2
