Educational stage,HistoricalEra,Personality Name,Date,Content,stemmedTashContent,image_link
HSL3,Modern History,وودرو ويلسن,1856-1924,رئيس الو م أ بين عامي 1913 و 1921 ، أدخلبلاده الحرب العالمية الأولى في سنة 1917 إلى جانب دول الوفاق ، اشتهر بمبادئه 14 التي تأسست عليها عصبة الأمم .,رئيس لو م أ بين عام 1913 و 1921 ، دخلبلاد حرب عالم أولى في سن 1917 إلى جانب دول وفاق ، شتهر مبادئ 14 التي تأسس على عصب أمم .,https://upload.wikimedia.org/wikipedia/commons/5/53/Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg
HSL3,Modern History,ونستون تشرشل,1874-1965,رئيس وزراء بريطانيا 1940-1945و1951-1955.قاد بلاده إلي النصر في الح ع 2 تحصل على جائزة نوبل للآداب.شارك إلى جانب روزفلت في الإعداد للميثاق الأطلسي أوت 1941.,رئيس زراء ريطانيا 1940-1945و1951-1955.قاد لاد إلى نصر في لح ع 2 حصل على جائز وبل للآداب.شارك إلى جانب روزفلت في إعداد ميثاق أطلس وت 1941.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sir_Winston_Churchill_-_19086236948.jpg/265px-Sir_Winston_Churchill_-_19086236948.jpg
HSL3,Modern History,هاري ترومان,1972-1884,رجل سياسي أمريكي و رئيس الو م أ خلفا لفرا كلين روزفلت من 1945_ 1953 و صاحب القرار الذي ينص بقنبلة هيروشيما و نكازاكي و هو الذي تدخل فيالحرب الكوبية 1950 و من مساهمي قيام الدولة اليهودية و صاحب مشروع ترومان في 12مارس 1947 .,رجل سياس مريك و رئيس لو م أ خلف فر لين روزفلت من 1945_ 1953 و صاحب قرار الذي نص قنبل هيروشيم و نكازاك و هو الذي دخل يالحرب كوب 1950 و من مساهم قيام دول يهود و صاحب مشروع روم في 12مارس 1947 .,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/TRUMAN_58-766-06_%28cropped%29.jpg/640px-TRUMAN_58-766-06_%28cropped%29.jpg
HSL3,Modern History,فرانكلين روزفلت,1882-1945,شخصية سياسية أمريكية أنتخبرئيسا للوم أ لثلاث فترات متتالية من 1933*1945 حضر عدة مؤتمرات منها يالطاساهم في وضع الميثاق الأطلسي 14 أوت 1945 .,شخص سياس مريك أنتخبرئيسا وم أ ثلاث رات متتال من 1933*1945 حضر عد مؤتمر من يالطاسا في ضع ميثاق أطلس 14 وت 1945 .,https://upload.wikimedia.org/wikipedia/commons/4/42/FDR_1944_Color_Portrait.jpg
HSL3,Modern History,دوايت إيزنهاور,1969-1860,رجل سياسي و عسكري أمريكيورئيس اللوم أ بين 1953*1961 بعد ترومان. أول قائد لحلف الناتو في 1949وساهم في الحرب الكورية . وصاحب مشروعإيزنهاور 05 جانفي 1957 الذي ينص على مساعدات اقتصادية للشرق الأوسط .,رجل سياس و عسكر أمريكيورئيس لوم أ بين 1953*1961 بعد ترومان. أول قائد حلف ناتو في 1949وسا في حرب كور . صاحب مشروعإيزنهاور 05 جانف 1957 الذي نص على مساعد اقتصاد شرق أوسط .,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg/1200px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg
HSL3,Modern History,جورج مارشال,1880 ـ 1959 ,"رجل سياسي أمريكي و وزيرالخارجية الأمريكية, صاحب مشروع مارشال 5 جوان 1947 الذي ينص على تقديم مساعداتاقتصادية لأوروبا .","رجل سياس مريك و وزيرالخارجية الأمريكية, صاحب مشروع مارشال 5 جو 1947 الذي نص على قديم مساعداتاقتصادية أوروب .",https://cdn.britannica.com/43/185343-050-3D14AA5C/George-C-Marshall.jpg
HSL3,Modern History,رونالد ريغان,1911-2004,رجل سياسي و زعيم أمريكي رئيس اللوم أ بين1981*1989 صاحبمشروع حرب النجوم. تميزت فترة حكمه في الحرب الباردة بداية نهاية الصراع بينالمعسكرين.,رجل سياس و زعيم مريك رئيس لوم أ بين1981*1989 صاحبمشروع حرب نجوم. تميز تر حكم في حرب بارد دا نها صراع بينالمعسكرين.,https://www.whitehouse.gov/wp-content/uploads/2021/01/40_ronald_reagan.jpg
HSL3,Modern History,جورشبوش الأب,,رجل سياسيأمريكي و زعيم أمريكي رئيس اللوم أ 1989*1993 حضر مؤتمر مالطا مع غوربا تشوف عرفتفترة حكمه بتدخل اللوم أ في عدة مناطق لحرب الخليج الثانية 26 فيفري 1991 وصاحبفكرة النظام الدولي الجديد .,رجل سياسيأمريكي و زعيم مريك رئيس لوم أ 1989*1993 حضر مؤتمر مالط مع غورب شوف عرفتفتر حكم تدخل لوم أ في عد مناطق حرب خليج ثان 26 فري 1991 صاحبفكر نظام دول جديد .,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=3309804332425111
HSL3,Modern History,ريتشارد ينكسون,1994-1913,رجل سياسي أمريكي و رئيس اللوم أ من 1969*1974 وقع معالإتحاد السوفياتي اتفاقية سالت 1 ـ 1972 .,رجل سياس مريك و رئيس لوم أ من 1969*1974 قع معالإتحاد سوفيات اتفاق سال 1 ـ 1972 .,https://upload.wikimedia.org/wikipedia/commons/3/39/Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.jpg
HSL3,Modern History,"كنيدي جون، ""فيتزجيرالد""", 1917-1963,رجل سياسي أمريكي ورئيس اللوم أ بين 1961*1963 وقع مع مع الإتحاد السوفياتي معاهدة خطر التجاربالنووية اغتيل بإطلاق النار في 22 نوفمبر 1963 .,رجل سياس مريك رئيس لوم أ بين 1961*1963 قع مع مع إتحاد سوفيات معاهد خطر التجاربالنووية غتيل إطلاق نار في 22 نوفمبر 1963 .,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=860542076116953
HSL3,Modern History,ماك ارتر,1880-1964,: جنرال أمريكي. قائد الجيش الأمريكي و الحلفاء في المحيط الهادي زمن الحرب ع 2  كما قاد القوات الأمريكية في كوريا 1950. هدد بقصف الصين بالقنبلة الذرية، فأقاله الرئيس ترومان 11 أفريل 1951.,: جنرال مريكي. قائد جيش أمريك و حلفاء في محيط هاد زم حرب ع 2 كما قاد قو أمريك في وريا 1950. هدد قصف صين قنبل ذرية، قال رئيس روم 11 ريل 1951.,https://www.1001spirits.com/tuotekuvat/1500x1500/Mac%20Arthur%C2%B4s%20Select%20Scotch%20Whisky%2040%25%201%20l.jpg
HSL3,Modern History,هنري كيسنجر,,سياسي امريكي (ألماني الاصل) وزير خارجية الولايات المتحدة في عهد نيكسون و جيرالد فورد. حامل جائزة نوبل للسلام بعد مساهمته في وقف حرب الفيتنام 1973 يعتبر مهندس إتفاقية السلام المصرية الأسرائيلية (كام ديفيد) 1979.,سياس امريك (ألمان اصل) زير خارج ولا متحد في عهد يكسو و جيرالد ورد. حامل جائز وبل سلام بعد مساهم في قف حرب فيتنام 1973 عتبر مهندس إتفاق سلام مصر أسرائيل (كام ديفيد) 1979.,https://upload.wikimedia.org/wikipedia/commons/9/97/Henry_A._Kissinger%2C_U.S._Secretary_of_State%2C_1973-1977.jpg
HSL3,Modern History,شخصيات الإتحاد السوفياتي,,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=125357795740581
